Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Buttons,Chrome 117.0.0.0,,,2023-09-21 10:41:11,2023-09-21 10:54:04,12m - 53.559s,PASSED
,,,,,,,
Test Cases/Buttons/Overview,Chrome 117.0.0.0,,,2023-09-21 10:46:43,2023-09-21 10:49:34,2m - 50.452s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-09-21 10:46:43,2023-09-21 10:46:44,1.278s,PASSED
"navigateToUrl(""https://delightful-stone-07bb55f0f.3.azurestaticapps.net/"")",Chrome 117.0.0.0,,,2023-09-21 10:46:44,2023-09-21 10:46:48,3.076s,PASSED
maximizeWindow(),Chrome 117.0.0.0,,,2023-09-21 10:46:48,2023-09-21 10:46:48,0.126s,PASSED
"click(findTestObject(""Object Repository/Overview/Page_FakeDoor/button_Sign In""))",Chrome 117.0.0.0,,,2023-09-21 10:46:48,2023-09-21 10:46:51,3.786s,PASSED
"setText(findTestObject(""Object Repository/Overview/Page_FakeDoor/input_User Name_username""), ""admin2"")",Chrome 117.0.0.0,,,2023-09-21 10:46:51,2023-09-21 10:46:58,6.184s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Overview/Page_FakeDoor/input_Password_password""), ""Lm1Albv1LteQ2KmNJoEiNQ=="")",Chrome 117.0.0.0,,,2023-09-21 10:46:58,2023-09-21 10:47:02,4.430s,PASSED
"click(findTestObject(""Object Repository/Overview/Page_FakeDoor/button_Login""))",Chrome 117.0.0.0,,,2023-09-21 10:47:02,2023-09-21 10:47:04,2.412s,PASSED
"click(findTestObject(""Object Repository/Overview/Page_FakeDoor/span_Overview""))",Chrome 117.0.0.0,,,2023-09-21 10:47:04,2023-09-21 10:47:10,5.653s,PASSED
"click(findTestObject(""Object Repository/Overview/Page_FakeDoor/p_Start Lesson""))",Chrome 117.0.0.0,,,2023-09-21 10:47:10,2023-09-21 10:47:18,7.405s,PASSED
"click(findTestObject(""Object Repository/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj""))",Chrome 117.0.0.0,,,2023-09-21 10:47:18,2023-09-21 10:47:21,3.011s,PASSED
"click(findTestObject(""Object Repository/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1""))",Chrome 117.0.0.0,,,2023-09-21 10:47:21,2023-09-21 10:47:27,6.945s,PASSED
"click(findTestObject(""Object Repository/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1_2""))",Chrome 117.0.0.0,,,2023-09-21 10:47:27,2023-09-21 10:47:35,7.141s,PASSED
"click(findTestObject(""Object Repository/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1_2_3""))",Chrome 117.0.0.0,,,2023-09-21 10:47:35,2023-09-21 10:47:42,7.100s,PASSED
"click(findTestObject(""Object Repository/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1_2_3_4""))",Chrome 117.0.0.0,,,2023-09-21 10:47:42,2023-09-21 10:47:49,7.066s,PASSED
"click(findTestObject(""Object Repository/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1_2_3_4_5""))",Chrome 117.0.0.0,,,2023-09-21 10:47:49,2023-09-21 10:47:56,7.076s,PASSED
"click(findTestObject(""Object Repository/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1_2_3_4_5_6""))",Chrome 117.0.0.0,,,2023-09-21 10:47:56,2023-09-21 10:48:03,7.119s,PASSED
"click(findTestObject(""Object Repository/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1_2_3_4_5_6_7""))",Chrome 117.0.0.0,,,2023-09-21 10:48:03,2023-09-21 10:48:10,7.092s,PASSED
"click(findTestObject(""Object Repository/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1_2_3_4_5_6_7_8""))",Chrome 117.0.0.0,,,2023-09-21 10:48:10,2023-09-21 10:48:17,7.049s,PASSED
"click(findTestObject(""Object Repository/Overview/Page_FakeDoor/button_Back""))",Chrome 117.0.0.0,,,2023-09-21 10:48:17,2023-09-21 10:48:20,2.942s,PASSED
"click(findTestObject(""Object Repository/Overview/Page_FakeDoor/button_Back""))",Chrome 117.0.0.0,,,2023-09-21 10:48:20,2023-09-21 10:48:23,3.060s,PASSED
"click(findTestObject(""Object Repository/Overview/Page_FakeDoor/button_Back""))",Chrome 117.0.0.0,,,2023-09-21 10:48:23,2023-09-21 10:48:26,3.082s,PASSED
"click(findTestObject(""Object Repository/Overview/Page_FakeDoor/button_Back""))",Chrome 117.0.0.0,,,2023-09-21 10:48:26,2023-09-21 10:48:29,3.047s,PASSED
