Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Left Panel Button,,,,2023-09-21 10:02:17,2023-09-21 10:02:24,6.088s,FAILED
,,,,,,,
Test Cases/Left Panel Buttons/Left Panel Buttons,,,,2023-09-21 10:02:22,2023-09-21 10:02:24,1.175s,FAILED
"openBrowser("""")",,,,2023-09-21 10:02:22,2023-09-21 10:02:23,0.758s,FAILED
"navigateToUrl(""https://delightful-stone-07bb55f0f.3.azurestaticapps.net/"")",,,,2023-09-21 10:02:23,2023-09-21 10:02:23,0.003s,FAILED
maximizeWindow(),,,,2023-09-21 10:02:23,2023-09-21 10:02:23,0.000s,FAILED
"click(findTestObject(""Object Repository/Left Panel Buttons/Page_FakeDoor/button_Sign In""))",,,,2023-09-21 10:02:23,2023-09-21 10:02:23,0.043s,FAILED
"setText(findTestObject(""Object Repository/Left Panel Buttons/Page_FakeDoor/input_User Name_username""), ""admin2"")",,,,2023-09-21 10:02:23,2023-09-21 10:02:23,0.031s,FAILED
"setEncryptedText(findTestObject(""Object Repository/Left Panel Buttons/Page_FakeDoor/input_Password_password""), ""Lm1Albv1LteQ2KmNJoEiNQ=="")",,,,2023-09-21 10:02:23,2023-09-21 10:02:23,0.041s,FAILED
"click(findTestObject(""Object Repository/Left Panel Buttons/Page_FakeDoor/button_Login""))",,,,2023-09-21 10:02:23,2023-09-21 10:02:23,0.026s,FAILED
"click(findTestObject(""Object Repository/Left Panel Buttons/Page_FakeDoor/span_Overview""))",,,,2023-09-21 10:02:23,2023-09-21 10:02:23,0.026s,FAILED
"click(findTestObject(""Object Repository/Left Panel Buttons/Page_FakeDoor/span_Profile""))",,,,2023-09-21 10:02:23,2023-09-21 10:02:23,0.044s,FAILED
"click(findTestObject(""Object Repository/Left Panel Buttons/Page_FakeDoor/span_Progress""))",,,,2023-09-21 10:02:23,2023-09-21 10:02:23,0.027s,FAILED
"click(findTestObject(""Object Repository/Left Panel Buttons/Page_FakeDoor/span_Physics""))",,,,2023-09-21 10:02:23,2023-09-21 10:02:23,0.026s,FAILED
"click(findTestObject(""Object Repository/Left Panel Buttons/Page_FakeDoor/span_Tests""))",,,,2023-09-21 10:02:23,2023-09-21 10:02:23,0.031s,FAILED
"click(findTestObject(""Object Repository/Left Panel Buttons/Page_FakeDoor/span_Physics""))",,,,2023-09-21 10:02:23,2023-09-21 10:02:23,0.027s,FAILED
"click(findTestObject(""Object Repository/Left Panel Buttons/Page_FakeDoor/span_Settings""))",,,,2023-09-21 10:02:23,2023-09-21 10:02:23,0.028s,FAILED
"click(findTestObject(""Object Repository/Left Panel Buttons/Page_FakeDoor/button_Overview_MuiButtonBase-root MuiIconB_eec332""))",,,,2023-09-21 10:02:23,2023-09-21 10:02:23,0.030s,FAILED
"click(findTestObject(""Object Repository/Left Panel Buttons/Page_FakeDoor/span_Logout""))",,,,2023-09-21 10:02:23,2023-09-21 10:02:24,0.026s,FAILED
closeBrowser(),,,,2023-09-21 10:02:24,2023-09-21 10:02:24,0.007s,PASSED
