Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Buttons,Chrome 117.0.0.0,,,2023-10-02 22:40:07,2023-10-02 23:03:03,22m - 56.059s,FAILED
,,,,,,,
Test Cases/Buttons/Overview,Chrome 117.0.0.0,,,2023-10-02 22:40:07,2023-10-02 22:57:19,17m - 12.525s,FAILED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-02 22:40:07,2023-10-02 22:40:08,1.630s,PASSED
"navigateToUrl(""https://delightful-stone-07bb55f0f.3.azurestaticapps.net/"")",Chrome 117.0.0.0,,,2023-10-02 22:40:08,2023-10-02 22:40:17,8.908s,PASSED
maximizeWindow(),Chrome 117.0.0.0,,,2023-10-02 22:40:17,2023-10-02 22:40:18,0.193s,PASSED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/button_Sign In""))",Chrome 117.0.0.0,,,2023-10-02 22:40:18,2023-10-02 22:40:20,2.572s,PASSED
"setText(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/input_User Name_username""), ""admin2"")",Chrome 117.0.0.0,,,2023-10-02 22:40:20,2023-10-02 22:40:33,12.456s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/input_Password_password""), ""Lm1Albv1LteQ2KmNJoEiNQ=="")",Chrome 117.0.0.0,,,2023-10-02 22:40:33,2023-10-02 22:40:37,4.452s,PASSED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/button_Login""))",Chrome 117.0.0.0,,,2023-10-02 22:40:37,2023-10-02 22:40:40,2.508s,PASSED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/span_Overview""))",Chrome 117.0.0.0,,,2023-10-02 22:40:40,2023-10-02 22:41:30,50.015s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/p_Start Lesson""))",Chrome 117.0.0.0,,,2023-10-02 22:41:30,2023-10-02 22:42:18,48.062s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj""))",Chrome 117.0.0.0,,,2023-10-02 22:42:18,2023-10-02 22:43:02,43.945s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1""))",Chrome 117.0.0.0,,,2023-10-02 22:43:02,2023-10-02 22:43:47,45.024s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1_2""))",Chrome 117.0.0.0,,,2023-10-02 22:43:47,2023-10-02 22:44:22,35.231s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1_2_3""))",Chrome 117.0.0.0,,,2023-10-02 22:44:22,2023-10-02 22:44:57,34.842s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1_2_3_4""))",Chrome 117.0.0.0,,,2023-10-02 22:44:57,2023-10-02 22:45:32,35.129s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1_2_3_4_5""))",Chrome 117.0.0.0,,,2023-10-02 22:45:32,2023-10-02 22:46:07,35.135s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1_2_3_4_5_6""))",Chrome 117.0.0.0,,,2023-10-02 22:46:07,2023-10-02 22:46:42,35.076s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1_2_3_4_5_6_7""))",Chrome 117.0.0.0,,,2023-10-02 22:46:42,2023-10-02 22:47:17,35.235s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/img_Back_MuiBox-root mui-style-1f4e7rj_1_2_3_4_5_6_7_8""))",Chrome 117.0.0.0,,,2023-10-02 22:47:17,2023-10-02 22:47:52,35.223s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/button_Back""))",Chrome 117.0.0.0,,,2023-10-02 22:47:52,2023-10-02 22:48:28,35.654s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/button_Back""))",Chrome 117.0.0.0,,,2023-10-02 22:48:28,2023-10-02 22:49:03,35.326s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/button_Back""))",Chrome 117.0.0.0,,,2023-10-02 22:49:03,2023-10-02 22:49:39,35.638s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/button_Back""))",Chrome 117.0.0.0,,,2023-10-02 22:49:39,2023-10-02 22:50:15,35.893s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/button_Back""))",Chrome 117.0.0.0,,,2023-10-02 22:50:15,2023-10-02 22:50:50,35.230s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/button_Back""))",Chrome 117.0.0.0,,,2023-10-02 22:50:50,2023-10-02 22:51:25,35.216s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/button_Back""))",Chrome 117.0.0.0,,,2023-10-02 22:51:25,2023-10-02 22:52:01,35.225s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/button_Back""))",Chrome 117.0.0.0,,,2023-10-02 22:52:01,2023-10-02 22:52:36,35.399s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/button_Back""))",Chrome 117.0.0.0,,,2023-10-02 22:52:36,2023-10-02 22:53:12,35.851s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/button_Back""))",Chrome 117.0.0.0,,,2023-10-02 22:53:12,2023-10-02 22:53:47,35.247s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/p_Reminder""))",Chrome 117.0.0.0,,,2023-10-02 22:53:47,2023-10-02 22:54:22,35.197s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/span_Overview""))",Chrome 117.0.0.0,,,2023-10-02 22:54:22,2023-10-02 22:54:58,35.386s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/p_Reminder""))",Chrome 117.0.0.0,,,2023-10-02 22:54:58,2023-10-02 22:55:33,35.186s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/span_Overview""))",Chrome 117.0.0.0,,,2023-10-02 22:55:33,2023-10-02 22:56:08,35.176s,FAILED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/button_Overview_MuiButtonBase-root MuiIconB_eec332""))",Chrome 117.0.0.0,,,2023-10-02 22:56:08,2023-10-02 22:56:43,35.354s,PASSED
"click(findTestObject(""Object Repository/Buttons/Overview/Page_FakeDoor/span_Logout""))",Chrome 117.0.0.0,,,2023-10-02 22:56:43,2023-10-02 22:57:18,35.042s,FAILED
closeBrowser(),Chrome 117.0.0.0,,,2023-10-02 22:57:18,2023-10-02 22:57:19,0.754s,PASSED
,,,,,,,
Test Cases/Buttons/Profile,Chrome 117.0.0.0,,,2023-10-02 22:57:19,2023-10-02 22:58:36,1m - 16.392s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-02 22:57:19,2023-10-02 22:57:21,1.102s,PASSED
